latitude,longitude,speed_kmh,time_of_day,distance_from_corridor,is_anomaly
25.348876,91.771304,56.9,17,28.6,0
25.555707,91.878801,20.4,11,67.2,0
25.534942,91.867374,20.6,16,62.3,0
25.387569,91.794399,30.4,7,127.0,0
25.389203,91.793763,16.4,8,23.2,0
25.429699,91.816513,7.4,15,1.3,0
25.360141,91.777463,19.9,14,38.3,0
25.560728,91.882049,29.2,13,47.3,0
25.366024,91.781803,19.5,15,66.0,0
25.565798,91.885358,60.0,15,24.5,0
25.516966,91.860677,7.0,11,11.3,0
25.531045,91.866034,36.2,14,39.7,0
25.390023,91.7948,28.9,8,33.3,0
25.366808,91.782064,15.8,8,49.1,0
25.492266,91.850073,11.8,8,86.2,0
25.293616,91.742736,30.5,13,11.1,0
25.443717,91.824616,32.1,10,32.0,0
25.274978,91.730377,0.4,4,392.1,1
25.460867,91.834186,24.4,9,36.1,0
25.389862,91.793647,22.0,13,70.1,0
25.320018,91.759015,1.2,3,335.6,1
25.356669,91.776418,24.5,16,47.8,0
25.275298,91.733153,46.6,15,125.0,0
25.374286,91.785538,21.8,13,17.2,0
25.484574,91.846594,23.4,17,38.1,0
25.300019,91.736265,1.4,22,938.4,1
25.299625,91.744929,15.1,14,40.8,0
25.286743,91.739241,5.3,15,29.7,0
25.318038,91.754931,38.5,15,45.3,0
25.549467,91.87629,10.7,9,53.3,0
25.305494,91.747541,17.6,12,43.7,0
25.577318,91.892987,43.7,12,38.1,0
25.532821,91.867081,1.2,10,4.9,0
25.574257,91.890502,15.0,11,22.1,0
25.332526,91.762848,31.5,11,32.4,0
25.495485,91.85234,30.8,13,15.1,0
25.529445,91.865479,29.5,9,30.9,0
25.482744,91.845333,14.2,16,61.8,0
25.410969,91.806255,27.2,15,15.7,0
25.449707,91.827922,14.1,13,29.8,0
25.560862,91.88345,32.6,17,78.3,0
25.462621,91.83443,5.6,8,35.0,0
25.459388,91.833345,55.4,18,34.2,0
25.5322,91.867219,10.7,12,35.0,0
25.454217,91.830422,20.6,15,29.4,0
25.479182,91.843975,13.2,14,1.4,0
25.371081,91.783658,10.7,12,26.9,0
25.451905,91.828532,17.9,17,29.6,0
25.432396,91.818677,16.2,13,66.1,0
25.485128,91.847313,21.7,10,1.9,0
25.427045,91.815462,49.7,13,42.5,0
25.481696,91.844522,15.5,8,84.2,0
25.566465,91.885776,56.5,16,23.1,0
25.416553,91.807498,20.2,13,165.2,0
25.470926,91.839136,32.0,10,26.0,0
25.445213,91.825172,34.7,13,5.2,0
25.552641,91.877617,39.2,14,3.2,0
25.55821,91.880877,94.1,11,13.8,1
25.522943,91.863641,26.0,14,47.9,0
25.495536,91.851174,17.9,16,107.6,0
25.319341,91.755096,23.1,17,9.1,0
25.321533,91.756986,6.2,15,56.4,0
25.406023,91.803825,18.6,10,46.6,0
25.543936,91.873563,40.9,15,112.5,0
25.379077,91.788373,16.3,15,0.3,0
25.315032,91.75316,8.4,9,35.5,0
25.294487,91.742746,28.7,10,27.8,0
25.524971,91.852148,29.7,17,1223.7,1
25.306941,91.748804,41.0,15,18.3,0
25.286836,91.740676,12.4,11,111.6,0
25.440881,91.822993,22.4,13,27.4,0
25.3164,91.754349,27.7,10,77.2,0
25.343918,91.769714,31.0,12,84.7,0
25.310265,91.750016,8.1,10,12.8,0
25.367634,91.782663,28.9,9,62.7,0
25.297887,91.745121,17.8,15,58.0,0
25.37693,91.787599,21.1,9,40.4,0
25.547466,91.874251,19.5,11,25.6,0
25.31046,91.750236,11.7,15,1.9,0
25.447847,91.826357,13.4,15,21.9,0
25.393068,91.796215,35.8,9,6.4,0
25.388483,91.79348,20.9,14,11.8,0
25.347511,91.77032,18.6,12,50.5,0
25.510825,91.858123,60.0,14,21.4,0
25.350301,91.772807,12.1,15,40.7,0
25.329329,91.761039,38.5,15,29.3,0
25.345427,91.769773,28.2,13,8.9,0
25.279941,91.736074,30.0,15,40.5,0
25.391798,91.795665,4.6,10,21.5,0
25.519137,91.860601,9.9,13,108.9,0
25.294961,91.742833,0.2,14,40.5,0
25.566785,91.886702,21.9,10,46.7,0
25.367277,91.78112,32.6,9,68.1,0
25.561233,91.881826,15.6,11,97.6,0
25.380864,91.78942,60.0,16,5.0,0
25.50483,91.855826,45.4,15,11.0,0
25.475593,91.842085,10.5,16,8.7,0
25.385616,91.791632,8.6,16,36.7,0
25.435391,91.819009,28.1,13,63.5,0
25.278098,91.735598,29.1,9,4.6,0
25.282654,91.737985,7.0,10,29.5,0
25.40409,91.802198,21.7,9,7.2,0
25.450542,91.82763,20.7,7,43.6,0
25.273622,91.733529,13.4,6,10.3,0
25.563998,91.884399,24.5,9,11.9,0
25.575352,91.891824,14.7,14,40.6,0
25.466279,91.836272,10.0,14,53.4,0
25.273662,91.73482,43.6,12,119.0,0
25.436664,91.820403,11.6,10,3.4,0
25.502075,91.855002,41.1,18,17.8,0
25.397841,91.799995,42.4,9,116.2,0
25.340941,91.767527,39.8,17,32.8,0
25.427866,91.817045,33.2,10,152.1,0
25.284581,91.739041,22.9,13,48.7,0
25.525472,91.864672,10.5,11,49.9,0
25.5115,91.858512,19.4,10,9.1,0
25.450527,91.829355,13.0,8,125.0,0
25.402136,91.800218,29.0,10,94.3,0
25.530384,91.866259,15.7,9,10.8,0
25.414971,91.80834,30.2,14,2.2,0
25.423251,91.812904,18.2,9,1.3,0
25.465374,91.835977,46.2,9,33.3,0
25.386508,91.793131,34.0,9,61.0,0
25.318212,91.753855,30.7,8,68.8,0
25.576512,91.892988,11.5,11,84.6,0
25.546797,91.874823,19.2,15,67.5,0
25.575272,91.891827,32.2,10,45.5,0
25.452924,91.829612,59.1,14,20.4,0
25.568349,91.888492,18.8,8,127.0,0
25.561129,91.882578,35.9,15,20.1,0
25.399204,91.799935,12.6,15,36.7,0
25.357658,91.777039,23.2,13,54.7,0
25.396103,91.798681,5.9,14,82.3,0
25.320601,91.755648,20.3,11,23.5,0
25.334513,91.763579,22.4,11,3.8,0
25.472209,91.84028,38.3,7,15.9,0
25.34667,91.770452,20.3,10,7.7,0
25.558935,91.882422,11.4,16,91.6,0
25.445282,91.825789,26.5,11,61.5,0
25.403662,91.801787,40.5,8,24.1,0
25.31472,91.751953,3.9,15,65.1,0
25.312397,91.751923,29.7,11,57.5,0
25.556372,91.880275,6.1,15,34.8,0
25.291114,91.740834,14.5,8,67.7,0
25.32105,91.756415,29.3,9,26.9,0
25.333154,91.763929,39.6,12,103.7,0
25.52239,91.862733,34.2,15,23.0,0
25.33894,91.766394,24.1,15,30.8,0
25.316409,91.75326,18.1,15,29.3,0
25.420655,91.811574,18.6,12,9.6,0
25.395556,91.797952,28.9,10,41.0,0
25.334722,91.762806,40.2,9,90.4,0
25.430884,91.815943,35.9,10,118.2,0
25.434418,91.819612,6.0,9,47.8,0
25.354198,91.774362,36.9,9,18.7,0
25.378104,91.787521,39.2,9,30.7,0
25.35369,91.775074,26.6,13,78.0,0
25.484842,91.847125,44.0,14,0.9,0
25.556354,91.878536,15.0,10,129.7,0
25.391869,91.794947,31.9,9,52.1,0
25.538965,91.868432,20.7,13,119.3,0
25.530017,91.867167,19.4,16,119.9,0
25.353315,91.774325,44.4,14,25.4,0
25.536064,91.868894,23.6,14,48.4,0
25.357027,91.775702,12.3,10,41.3,0
25.532896,91.866955,25.2,11,21.0,0
25.474166,91.840773,127.1,22,41.9,1
25.373792,91.785566,8.5,14,12.2,0
25.385359,91.791832,21.1,12,3.4,0
25.383689,91.791061,17.3,11,11.9,0
25.333006,91.762338,10.2,15,43.1,0
25.495426,91.851668,19.1,15,51.9,0
25.315935,91.752707,27.9,17,57.4,0
25.438226,91.821255,34.4,11,1.8,0
25.41919,91.810256,14.4,16,39.4,0
25.493988,91.851938,29.4,10,35.5,0
25.438878,91.821309,43.8,16,28.2,0
25.487697,91.848903,26.4,11,17.8,0
25.503629,91.855459,8.7,10,0.7,0
25.365388,91.779961,9.0,13,78.9,0
25.527434,91.866186,25.0,10,125.4,0
25.366828,91.780592,12.4,13,95.2,0
25.383989,91.791273,27.5,14,16.3,0
25.450222,91.827284,10.2,11,60.0,0
25.323977,91.757169,31.0,10,58.0,0
25.298957,91.744954,23.5,10,7.8,0
25.536146,91.868424,38.1,12,3.6,0
25.34664,91.769897,43.3,14,44.6,0
25.41964,91.810468,33.2,15,43.1,0
25.290916,91.741622,16.4,10,21.2,0
25.288324,91.740667,6.7,14,42.8,0
25.421715,91.811649,14.0,14,40.3,0
25.305194,91.747411,5.2,15,43.3,0
25.375417,91.785742,10.1,16,58.4,0
25.557394,91.881265,55.8,11,70.1,0
25.284033,91.738232,16.9,12,8.4,0
25.2955,91.743588,16.1,12,11.5,0
25.352834,91.773807,28.2,15,1.0,0
25.34934,91.771057,47.1,15,77.7,0
25.556252,91.880132,8.4,16,28.1,0
25.512115,91.857946,15.2,16,93.1,0
25.344081,91.768475,21.3,15,44.7,0
25.343824,91.769563,21.3,12,75.1,0
25.388954,91.793523,27.0,8,33.1,0
25.556587,91.879735,19.4,11,29.0,0
25.440159,91.822449,11.6,14,13.5,0
25.360875,91.779824,8.2,12,151.8,0
25.394006,91.796656,20.8,9,1.4,0
25.571439,91.889245,59.9,15,20.6,0
